"back_legroom,""body_type"",""city"",""dealer_zip"",""description"",""engine_displacement"",""engine_type"",""front_legroom"",""fuel_tank_volume"",""has_accidents"",""height"",""horsepower"",""isCab"",""is_new"",""latitude"",""length"",""listing_color"",""longitude"",""make_name"",""mileage"",""price"",""savings_amount"",""transmission"",""wheel_system"",""width"",""has_picture"",""num_options"",""rpm_power"",""weight"",""torque_kgm"",""ratio_hp_displacement"",""car_age"",""km_per_year"",""vol_approx""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"81.788,""Sedan"",""Albuquerque"",87123,""Super clean 2016 Lexus IS 200t in excellent condition with only 52k miles! This turbopowered luxury sedan is well equipped with all of the power options including Bluetooth connectivity SiriusXM capability power moonroof backup camera dual zone automatic climate control premium sound and so much more!Visit Reese's Car Connection online at www.reesescarconnection.com for more information on this vehicle or call us at 505-299-8700 today to schedule your test drive.[!@@Additional Info@@!]First Aid Kit,17.4 Gal. Fuel Tank,2 12V DC Power Outlets,2 Seatback Storage Pockets,293w Regular Amplifier,3.13 Axle Ratio,4-Wheel Disc Brakes w/4-Wheel ABS$COMMA Front And Rear Vented Discs$COMMA Brake Assist and Hill Hold Control,60-40 Folding Bench Front Facing Fold Forward Seatback Rear Seat,Air Filtration,Airbag Occupancy Sensor,Analog Display,Audio Theft Deterrent,Black Grille w/Chrome Surround,Body-Colored Door Handles,Body-Colored Front Bumper,Body-Colored Rear Bumper,Cargo Space Lights,Carpet Floor Trim and Carpet Trunk Lid/Rear Cargo Door Trim,Chrome Side Windows Trim and Black Front Windshield Trim,Clearcoat Paint,Compact Spare Tire Mounted Inside Under Cargo,Compass,Cruise Control w/Steering Wheel Controls,Curtain 1st And 2nd Row Airbags,Delayed Accessory Power,Double Wishbone Front Suspension w/Coil Springs,Driver And Passenger Door Bins,Driver And Passenger Visor Vanity Mirrors w/Driver And Passenger Illumination,Driver Foot Rest,Driver Seat,Dual Stage Driver And Passenger Front Airbags,Dual Zone Front Automatic Air Conditioning,Electric Power-Assist Speed-Sensing Steering,Engine Immobilizer,Engine Oil Cooler,Engine: 2.0L Turbo I4 DOHC 16V Dual VVT-iW,Express Open/Close Sliding And Tilting Glass 1st Row Sunroof w/Sunshade,Fade-To-Off Interior Lighting,Fixed Rear Window w/Defroster,Front And Rear Anti-Roll Bars,Front And Rear Map Lights,Front Center Armrest and Rear Center Armrest w/Storage,Front Cupholder,Full Cloth Headliner,Full Floor Console w/Covered Storage$COMMA Mini Overhead Console and 2 12V DC Power Outlets,Fully Automatic Projector Beam High Intensity Low/High Beam Daytime Running Auto-Leveling Headlamps w/Delay-Off,Fully Galvanized Steel Panels,Gas-Pressurized Shock Absorbers,HVAC -inc: Underseat Ducts and Console Ducts,Illuminated Locking Glove Box,Interior Trim -inc: Metal-Look Instrument Panel Insert$COMMA Metal-Look Door Panel Insert$COMMA Metal-Look Console Insert and Chrome/Metal-Look Interior Accents,Leatherette Door Trim Insert,LED Brakelights,Light Tinted Glass,Manual Adjustable Front Head Restraints and Manual Adjustable Rear Head Restraints,Metal-Look Gear Shifter Material,Multi-Link Rear Suspension w/Coil Springs,Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3 Point$COMMA Height Adjusters and Pretensioners,Outside Temp Gauge,Passenger Seat,Perimeter Alarm,Perimeter/Approach Lights,Quasi-Dual Stainless Steel Exhaust w/Polished Tailpipe Finisher,Radio w/Seek-Scan$COMMA Clock$COMMA Steering Wheel Controls and Radio Data System,Real-Time Traffic Display,Rear Child Safety Locks,Rear Cupholder,Rear-Wheel Drive,Remote Releases -Inc: Power Fuel,Seats w/Leatherette Back Material,Side Impact Beams,Steel Spare Wheel,Systems Monitor,Tire Specific Low Tire Pressure Warning,Tracker System,Trunk Rear Cargo Access,Valet Function,Window Grid Diversity Antenna"",2000,""I4"",113.792,65.866134,""False"",143.002,241,""False"",""False"",35.0729,466.598,""WHITE"",-106.515,""Lexus"",84009.15734,23797,75,""A"",""RWD"",202.692,""True"",3,5800,0.975461057765584,35.66979,0.12049999993975,4,16801.831468,8.11323453427267";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"96.774,""Sedan"",""Albuquerque"",87112,""White 2011 Ford Taurus SEL AWD 6-Speed Automatic with Select-Shift Duratec 3.5L V6 AWD. Clean CARFAX. Recent Arrival! Awards: * JD Power Initial Quality Study * 2011 IIHS Top Safety Pick * 2011  Best Resale Value Awards * 2011  Brand Image Awards Reviews: * You might like the 2011 Ford Taurus if you want a roomy, comfortable sedan but also appreciate modern design, engaging handling and the latest technology. Source:  * Top crash test scores, long list of standard features and cutting-edge options, handsome and quiet cabin, humongous trunk, comfortable ride, available all-wheel drive. Source: Edmunds[!@@Additional Info@@!]All Wheel Drive,Power Steering,ABS,4-Wheel Disc Brakes,Brake Assist,Tires - Front Performance,Tires - Rear Performance,Aluminum Wheels,Temporary Spare Tire,Automatic Headlights,Heated Mirrors,Power Mirror(s),Intermittent Wipers,AM/FM Stereo,CD Player,MP3 Player,Auxiliary Audio Input,Satellite Radio,Requires Subscription,Power Driver Seat,Cloth Seats,Bucket Seats,Driver Adjustable Lumbar,Pass-Through Rear Seat,Rear Bench Seat,Floor Mats,Cruise Control,Adjustable Steering Wheel,Steering Wheel Audio Controls,Leather Steering Wheel,Trip Computer,Power Windows,Power Door Locks,Keyless Entry,Power Door Locks,Engine Immobilizer,Security System,Cruise Control,Climate Control,Multi-Zone A/C,A/C,Rear Defrost,Power Outlet,Auto-Dimming Rearview Mirror,Driver Vanity Mirror,Passenger Vanity Mirror,Driver Illuminated Vanity Mirror,Passenger Illuminated Visor Mirror,Front Reading Lamps,Rear Reading Lamps,Traction Control,Traction Control,Stability Control,Driver Air Bag,Passenger Air Bag,Passenger Air Bag Sensor,Front Side Air Bag,Front Head Air Bag,Rear Head Air Bag,Driver Restriction Features,Child Safety Locks"",3500,""V6"",106.426,71.92279,""False"",154.178,263,""False"",""False"",35.0869,515.366,""WHITE"",-106.547,""Ford"",222282.0408,10542,2770,""A"",""AWD"",217.678,""True"",1,6250,0.975461057765584,34.425495,0.0751428571213878,9,22228.20408,9.62419923117595";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"100.838,""SUV / Crossover"",""Albuquerque"",87114,""Priced to Move - $1,500 below MSRP... Gets Great Gas Mileage: 30 MPG Hwy.. All Around gem!! There are SUVs, and then there are SUVs like this tough SUV. Safety equipment includes: ABS, Xenon headlights, Traction control, Curtain airbags, Passenger Airbag...Other features include: Leather seats, Bluetooth, Power locks, Power windows, Heated seats... Photos may not be of actual vehicle. Interior color, wheels, tires, and options may vary.[!@@Additional Info@@!]Preferred Package, Driver Alert Package I, (0 P) Red Quartz Tintcoat, 1.5 liter inline 4 cylinder DOHC engine, 4 Doors, 4-wheel ABS brakes, 8-way power adjustable drivers seat, Air conditioning with dual zone climate control, Audio controls on steering wheel, Automatic Transmission, Bluetooth, Climate controlled - Driver and passenger heated-cushion  driver and passenger heated-seatback, Clock - In-radio display, Compass, Compressor - Intercooled turbo, Dusk sensing headlights, External temperature display, Front fog/driving lights, Front seat type - Bucket, Front-wheel drive, Fuel economy EPA highway (mpg): 30 and EPA city (mpg): 26, Head airbags - Curtain 1st and 2nd row, Heated drivers seat, Heated passenger seat, Interior air filtration, Leather seats, Multi-function remote - Trunk/hatch/door/tailgate  remote engine start, Passenger Airbag, Power heated mirrors, Power windows with 4 one-touch, Rear spoiler - Lip, Remote engine start, Remote power door locks, Satellite communications - Integrated, Stability control - With Anti-Roll, Tachometer, Tilt and telescopic steering wheel, Traction control - ABS and driveline, Transmission hill holder, Trip computer, Xenon headlights"",2000,""I4"",103.886,56.402609,""False"",166.116,252,""True"",""True"",35.1939,463.042,""Otro"",-106.66,""GMC"",0,33385,0,""A"",""FWD"",183.896,""True"",6,5500,1,35.9463,0.125999999937,0,0,8.32563153141331";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"79.248,""Hatchback"",""Albuquerque"",87110,""2016 Ford Fiesta S-1.6L inline 4 variable DOHC16V 120 hp @ 6350 rpm 112 lb-ft torque@ 5000 rpm EPA Mileage Est. (Cty/Hwy)	27/35 Range In Miles (Cty/Hwy)	334.8/434.0 mi. Fuel Tank Capacity	12.4 gal. From appearance to performance this gas saver will save you $$$. Call today to check availability and to schedule a test drive. 505-256-3400Visit Unique Motor Sports online at www.umsabq.com to see more pictures of this vehicle or call us at 505-256-3400 today to schedule your test drive.[!@@Additional Info@@!]ABS Brakes,Air Conditioning,AM/FM Radio,Child Safety Door Locks,Driver Airbag,Electronic Brake Assistance,Front Side Airbag,Interval Wipers,Keyless Entry,Passenger Airbag,Rear Spoiler,Rear Window Defogger,Rear Wiper,Run Flat Tires,Side Head Curtain Airbag,Steel Wheels,Steering Wheel Mounted Controls,Tachometer,Telematics System,Telescopic Steering Column,Tilt Steering Column,Tire Pressure Monitor,Traction Control,Vehicle Anti-Theft,Vehicle Stability Control System"",1600,""I4"",110.744,46.939084,""True"",147.574,120,""False"",""False"",35.0874,405.638,""WHITE"",-106.588,""Ford"",73691.6786,9950,791,""A"",""FWD"",197.612,""True"",1,5000,1,15.48456,0.074999999953125,4,14738.33572,7.25910293724896";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"96.774,""Pickup Truck"",""Albuquerque"",87107,""Clean CARFAX. Blue 2017 Ford F-150 King Ranch 4WD 10-Speed Automatic EcoBoost 3.5L V6 GTDi DOHC 24V Twin Turbocharged  in and SAVE thousands during the It's All About YOU Sales Event! Recent Arrival! Odometer is 14512 miles below market average!Awards: * 2017  10 Most Awarded Brands * 2017  Brand Image AwardsPower Ford, on the affordable side of Albuquerque! #MyFordDealer.[!@@Additional Info@@!]Four Wheel Drive,Power Steering,ABS,4-Wheel Disc Brakes,Brake Assist,Conventional Spare Tire,Tow Hooks,Intermittent Wipers,Variable Speed Intermittent Wipers,Daytime Running Lights,Automatic Headlights,AM/FM Stereo,Auxiliary Audio Input,Pass-Through Rear Seat,Rear Bench Seat,Adjustable Steering Wheel,A/C,Passenger Vanity Mirror,Engine Immobilizer,Stability Control,Front Side Air Bag,Tire Pressure Monitor,Driver Air Bag,Passenger Air Bag,Passenger Air Bag Sensor,Front Head Air Bag,Rear Head Air Bag,Child Safety Locks"",3500,""V6"",107.95,67.758839,""False"",187.706,355,""False"",""False"",35.1354,487.934,""Otro"",-106.621,""Ford"",63799.06562,44920,5952,""A"",""4WD"",217.678,""True"",0,6361.16785714286,0.643956713915562,52.951665,0.101428571399592,3,15949.766405,14.8928670058193";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"89.154,""SUV / Crossover"",""Albuquerque"",87123,""We offer financing though many of our local Credit Unions and Finance CompaniesWe offer a First Time buyers program if you are buying a vehicle for the first timeif you can meet the program criteria.					For those trying to repair their Credit we have Finance Companies in placeto help you get that car and rebuild your Credit. You can submit yourapplication Online at www.ebautosales.net for a preapproval.					We look forward to serving you toward your next car purchase![!@@Additional Info@@!]ABS Brakes,Air Conditioning,Alloy Wheels,Automatic Headlights,Cargo Area Cover,Cargo Area Tiedowns,Cargo Net,CD Player,Child Safety Door Locks,Cruise Control,Daytime Running Lights,Deep Tinted Glass,Driver Airbag,Driver Multi-Adjustable Power Seat,Electronic Brake Assistance,First Aid Kit,Fog Lights,Front Power Lumbar Support,Front Side Airbag,Genuine Wood Trim,Keyless Entry,Load Bearing Exterior Rack,Locking Pickup Truck Tailgate,Passenger Airbag,Passenger Multi-Adjustable Power Seat,Power Door Locks,Power Windows,Rear Window Defogger,Rear Wiper,Separate Driver/Front Passenger Climate Controls,Side Head Curtain Airbag,Steering Wheel Mounted Controls,Tachometer,Telematics System,Telescopic Steering Column,Tilt Steering,Tilt Steering Column,Tire Pressure Monitor,Trip Computer,Vehicle Anti-Theft,Vehicle Stability Control System"",3500,""V6"",105.156,65.866134,""False"",169.926,302,""False"",""False"",35.0711,452.628,""SILVER"",-106.525,""Mercedes-Benz"",74324.14922,22000,2825,""A"",""AWD"",201.676,""True"",1,6500,1,37.743615,0.0862857142610612,7,9290.5186525,9.44446819102584";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"89.408,""Convertible"",""Albuquerque"",87110,""ALL PRICES POSTED ARE CASH PRICESFINANCING IS AVAILABLE ADDITIONAL FEES MAY APPLY[!@@Additional Info@@!]Power Steering,Power Brakes,Power Door Locks,Power Windows,Power Drivers Seat,Radial Tires,Gauge Cluster,Trip Odometer,Tachometer,Air Conditioning,Tilt Steering Wheel,Cruise Control,Tinted Glass,Driver Side Air Bag,Front Bucket Seats,Reclining Seats,Compact Disc Player,Anti-Lock Braking System,Alloy Wheels,Rear Spoiler,Clock,Interval Wipers,Rear Defroster,Remote Trunk Lid,Console,Carpeting,Vanity Mirror,Day/Night Lever,Dual Sport Mirrors,Driver Side Remote Mirror,Velour Upholstery,Accent Stripes,Body Side Moldings,Center Arm Rest,Map Lights,Inside Hood Release,Fold Down Rear Seat,Maintenance Free Battery,Halogen Headlights,Airbags - Front - Dual,Air Conditioning - Front,Emergency Interior Trunk Release,Reading Lights Front,Child Seat Anchors,Cruise Control,Multi-function Remote Trunk Release,Multi-function Remote Keyless Entry,Front Power Outlet,Center Console Front Console With Storage,Driver Seat Power Adjustments,Exterior Entry Lights,Warnings And Reminders Low Fuel Level,Headlights Auto Delay Off,Power Door Locks,Exterior Mirrors Power,Front Suspension Type: Double Wishbones,Front Suspension Classification: Independent,Convertible Roof Soft Top,Seats Vinyl Upholstery,Seatbelts Seatbelt Pretensioners,Rear Seats Bench,Tachometer,Convertible Rear Window Glass,Convertible Roof Power,Rear Spoiler,Seats Front Seat Type: Bucket,Front Headrests Adjustable,Windows Front Wipers: Intermittent,Power Windows,Suspension Stabilizer Bar(s): Front,Suspension Stabilizer Bar(s): Rear,Windows Rear Defogger,AM/FM STEREO RADIO,PASSENGER SIDE AIR BAG"",2700,""V6"",107.696,60.56656,""False"",139.7,200,""True"",""False"",35.1091,491.998,""Otro"",-106.577,""Chrysler"",254116.39534,5995,0,""A"",""FWD"",176.276,""True"",1,5800,1,26.26845,0.0740740740466392,14,16941.0930226667,6.630238868528";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"92.964,""SUV / Crossover"",""Albuquerque"",87113,""[!@@Additional Info@@!]Air filtration: active charcoal, Front air conditioning: automatic climate control, Front air conditioning zones: dual, Rear vents: second row, Airbag deactivation: occupant sensing passenger, Front airbags: dual, Side airbags: front, Side curtain airbags: front / rear, Side-curtain airbag rollover sensor, Antenna type: diversity, Auxiliary audio input: MP3, In-Dash CD: MP3 Playback / single disc, Radio: AM/FM, Radio data system, Subwoofer: 2, Total speakers: 12, Watts: 205, ABS: 4-wheel, Braking assist, Electronic brakeforce distribution, Front brake diameter: 13.7, Front brake type: ventilated disc, Rear brake diameter: 13.6, Rear brake type: ventilated disc, Armrests: rear center folding with storage, Center console trim: alloy / wood, Dash trim: alloy / wood, Door trim: alloy / wood, Shift knob trim: alloy, Steering wheel trim: leather, Cargo area light, Cargo cover: retractable, Center console: front console with storage, Cruise control, Cupholders: front / rear, Easy entry: power steering wheel, Memorized settings: 3 driver / audio system / climate control / driver seat / side mirrors / steering wheel, Multi-function remote: keyless entry, One-touch windows: 4, Power outlet(s): 12V cargo area / 12V front / 12V rear, Power steering: variable/speed-proportional, Reading lights: front, Retained accessory power, Steering wheel: tilt and telescopic, Storage: cargo tie-down anchors and hooks / door pockets / front seatback, Vanity mirrors: dual illuminating, Rear door type: split liftgate, 4WD type: full time, Axle ratio: 3.91, Center differential: mechanical, Limited slip differential: center, Rear spoiler, Clock, Gauge: tachometer, Trip computer, Warnings and reminders: low fuel level / tire fill alert, Daytime running lights, Front fog lights, Headlights: HID/Xenon / auto delay off / auto on/off / cornering / self-leveling, Taillights: adaptive, Side mirror adjustments: power / reverse gear tilt, Roof rack, Child seat anchors, Rear seatbelts: center 3-point, Seatbelt force limiters: front / rear, Seatbelt pretensioners: front, Driver seat power adjustments: height / 8, Front headrests: power adjustable / 2, Front seat type: bucket, Passenger seat power adjustments: height / 8, Rear headrests: 3, Rear seat folding: split, Rear seat type: 60-40 split bench, Upholstery: leather, 2-stage unlocking doors, Anti-theft system: alarm with remote / audio security system / engine immobilizer, Power door locks, Hill descent control, Hill holder control, Roll stability control, Stability control, Traction control, Air suspension: rear, Front spring type: coil, Front stabilizer bar, Front struts, Front suspension classification: independent, Front suspension type: double ball joint, Rear shock type: gas, Rear spring type: pneumatic, Rear stabilizer bar, Rear suspension classification: independent, Rear suspension type: multi-link, Self leveling suspension, Run flat tires, Spare tire mount location: inside, Spare tire size: temporary, Spare wheel type: steel, Tire Pressure Monitoring System, Tire type: all season, Trailer wiring, Front wipers: rain sensing, Heated windshield washer jets, Power windows: remotely operated, Rear wiper: intermittent, Window defogger: rear"",4800,""V8"",101.6,85.171725,""False"",176.53,350,""False"",""False"",35.1844,485.394,""BLACK"",-106.586,""BMW"",128528.32976,14999,2451,""A"",""AWD"",219.71,""True"",9,6300,0.903673220545649,48.38925,0.0729166666514757,13,9180.59498285714,11.378474646231";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"97.79,""Pickup Truck"",""Albuquerque"",87110,""[!@@Additional Info@@!]50S,CN1,SG2,FL5,PR3,IK2,BE2,BR7,NP,PS,DA,99,[B92] SPLASH GUARDS,GUN METALLIC,[F97] RUNNING BOARDS - CHROME ACCENTS,BLACK  CLOTH SEAT TRIM,[L95] CARPET FLOOR MATS (L95),[A92] ACCESSORY UTILITY PACKAGE  -inc: Receiver Hitch  Drop-In Bed Liner  Bumper Step,[K93] PROTECTION PACKAGE 1  -inc: off-road adventure kit and adventure medic kit,[U01] SV CONVENIENCE PACKAGE  -inc: Leather-Wrapped Steering Wheel  Chrome Interior Door Locks  Auto-Dimming Rearview Mirror  Front & Rear Parking Sensors  Convex Spotter Mirror  Radio: NissanConnect w/Navigation  NissanConnect w/navigation  9"""" touchscreen display  3D building graphics and satellite imagery  connected navigation features including online POI search  over-the-air map updates  online premium traffic information  HD Radio  SiriusXM Traffic  SiriusXM Travel Link (weather  fuel prices  movie listings  stock info  sports and parking) and TomTom weather  2 Illuminated USB-A Ports In Back Of Center Console Charge only  Rear HVAC Vents  Intelligent Key System  driver and passenger request switches  Power Sliding Rear Window w/Defogger  110V/12V Outlets In Back Of Center Console  12V in center console  Remote Engine Start on Key Fob  Traffic Sign Recognition (TSR)  Dual Zone Automatic HVAC  Dedicated Configurable Cell Phone Holder  Heated Front Captain's Chairs  center console,[N92] TITAN ILLUMINATED KICK PLATE,Four Wheel Drive,Power Steering,ABS,4-Wheel Disc Brakes,Brake Assist,Brake Actuated Limited Slip Differential,Aluminum Wheels,Tires - Front All-Season,Tires - Rear All-Season,Conventional Spare Tire,Tow Hooks,Heated Mirrors,Power Mirror(s),Integrated Turn Signal Mirrors,Rear Defrost,Sliding Rear Window,Privacy Glass,Intermittent Wipers,Variable Speed Intermittent Wipers,Power Door Locks,Automatic Headlights,AM/FM Stereo,Satellite Radio,MP3 Player,Bluetooth Connection,Auxiliary Audio Input,Smart Device Integration,Requires Subscription,Steering Wheel Audio Controls,Auxiliary Audio Input,Pass-Through Rear Seat,Rear Bench Seat,Adjustable Steering Wheel,Trip Computer,Power Windows,WiFi Hotspot,Keyless Start,Keyless Entry,Power Door Locks,Cruise Control,Adaptive Cruise Control,A/C,Cloth Seats,Driver Vanity Mirror,Passenger Vanity Mirror,Driver Illuminated Vanity Mirror,Passenger Illuminated Visor Mirror,Keyless Start,Power Windows,Sliding Rear Window,Power Door Locks,Trip Computer,Security System,Engine Immobilizer,Traction Control,Stability Control,Traction Control,Front Side Air Bag,Rear Parking Aid,Blind Spot Monitor,Lane Departure Warning,Telematics,Requires Subscription,Tire Pressure Monitor,Driver Air Bag,Passenger Air Bag,Front Head Air Bag,Rear Head Air Bag,Passenger Air Bag Sensor,Knee Air Bag,Child Safety Locks,Back-Up Camera"",5600,""V8"",106.172,98.42066,""False"",193.04,400,""True"",""True"",35.0873,579.628,""GRAY"",-106.562,""Nissan"",0,52830,0,""A"",""4WD"",201.93,""True"",10,5800,1,57.099315,0.0714285714158163,0,0,13.8416875681824";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"93.472,""SUV / Crossover"",""Albuquerque"",87120,""Gray EcoBoost 2.0L I4 GTDi DOHC Turbocharged VCT 6-Speed Automatic FWD 22/30 City/Highway MPG  For information about this vehicle call 505-839-2299. We Let Our Prices Do The Talking!  Awards:   * Ward's 10 Best Engines   * 2013 KBB.com Brand Image Awards  Reviews:   * * Standout styling * Excellent fuel economy * Good technology package * Sporty handling Source: KBB.com   * Good performance and fuel efficiency"; many high-tech features; agile handling; high-quality cabin;" comfortable seating. Source: Edmunds[!@@Additional Info@@!]6 Speakers,AM/FM radio: SiriusXM,CD player,Radio data system,Radio: AM/FM Single-CD/MP3-Capable,Air Conditioning,Rear window defroster,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Knee airbag,Low tire pressure warning,Occupant sensing airbag,Overhead airbag,Rear anti-roll bar,Brake assist,Electronic Stability Control,Delay-off headlights,Front fog lights,Fully automatic headlights,Panic alarm,Speed control,Bumpers: body-color,Power door mirrors,Spoiler,Compass,Driver door bin,Driver vanity mirror,Front reading lights,Illuminated entry,Outside temperature display,Overhead console,Passenger vanity mirror,Rear seat center armrest,Tachometer,Telescoping steering wheel,Tilt steering wheel,Trip computer,Cloth Buckets w/60/40 Split Rear Seat,Front Bucket Seats,Front Center Armrest,Split folding rear seat,Passenger door bin,Alloy wheels,Rear window wiper,Variably intermittent wipers,3.21 Axle Ratio"",2000,""I4"",102.616,57.159691,""True"",168.402,240,""False"",""False"",35.1157,452.374,""GRAY"",-106.701,""Ford"",180637.14962,10950,1228,""A"",""FWD"",207.772,""True"",3,5500,1,37.32885,0.11999999994,7,22579.6437025,9.41161042345118";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
